extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary140547,"Immigrant Population by Selected Places of Birth (16) and Sex (3), Showing Period of Immigration (6), for Canada, Provinces, Territories and Federal Electoral Districts (1996 Representation Order), 1996 Census (20% Sample Data)",issue95f0224x1996004_4,Completed,Do not load to OLC,95F0224X1996004,
primary140550,"Immigrant Population by Selected Places of Birth (16) and Sex (3), Showing Period of Immigration (6), for Canada, Provinces, Territories and Forward Sortation Areas,  1996 Census (20% Sample Data)",issue95f0224x1996005_4,Last completed issue,Do not load to OLC,95F0224X1996005,
primary139520,"Immigrant Population by Citizenship (8) and Sex (3), Showing Period of Immigration (7), for  Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census  (20% Sample Data)",issue93f0023x1996007_4,Completed,Do not load to OLC,93F0023X1996007,
primary139516,"Immigrant Population by Place of Birth (260A) and Sex (3), Showing Period of Immigration (6), for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0023x1996003_4,Completed,Do not load to OLC,93F0023X1996003,
primary139882,Profile of Census Subdivisions in Sarnia,issue95f0179x1996023_4,Completed,Do not load to OLC,95F0179X1996023,
primary139885,Profile of Census Subdivisions in Sudbury,issue95f0179x1996026_4,Completed,Do not load to OLC,95F0179X1996026,
primary140748,Profile of Census Subdivisions in St. John's,issue95f0179x1996001_4,Completed,Do not load to OLC,95F0179X1996001,
primary140307,"Total Population by Selected Age Groups (11) and Sex (3), Showing Aboriginal Status (3), for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 1996 Census - (20% Sample Data)",issue95f0251x1996001_4,Completed,Do not load to OLC,95F0251X1996001,
primary140311,"Total Population by Selected Age Groups (11) and Sex (3), Showing Aboriginal Status (3), for Canada, Provinces, Territories and Forward Sortation Areas, 1996 Census - (20% Sample Data)",issue95f0251x1996005_4,Last completed issue,Do not load to OLC,95F0251X1996005,
primary140309,"Total Population by Selected Age Groups (11) and Sex (3), Showing Aboriginal Status (3),for Canada, Provinces, Territories, Federal Electoral Districts (1987 Representation Order) and Enumeration Areas, 1996 Census - (20% Sample Data)",issue95f0251x1996003_4,Completed,Do not load to OLC,95F0251X1996003,
primary140308,"Total Population by Selected Age Groups (11) and Sex (3), Showing Aboriginal Status (3), for Census Metropolitan Areas, Tracted Census Agglomerations and Census Tracts, 1996 Census - (20% Sample Data)",issue95f0251x1996002_4,Completed,Do not load to OLC,95F0251X1996002,
primary139322,"Postal Code Conversion File (PCCF) - Update, 1996 Census (Geography Products: Attribute Information Products)",publication92f0027u_4,Do not load to OLC,Do not load to OLC,92F0027U,
primary139467,"National Balance Sheet Accounts, Quarterly Estimates",publication13-214-d_4,Discontinued/Not available,Do not load to OLC,13-214-D,
primary140527,"Financial Flow Accounts, Quarterly Estimates - Day of Release",publication13-014-d_4,Discontinued/Not available,Do not load to OLC,13-014-D,
primary140394,"National Income and Expenditure Accounts, Quarterly Estimates - Day of Release",publication13-001-d_4,Discontinued/Not available,Do not load to OLC,13-001-D,
primary140497,"Crime Survey, 7 Cities (1982)",publication85m0001x_4,Discontinued/Not available,Do not load to OLC,85M0001X,
primary140310,"Total Population by Selected Age Groups (11) and Sex (3), Showing Aboriginal Status (3), for Canada, Provinces, Territories and Federal Electoral Districts (1996 Representation Order), 1996 Census - (20% Sample Data)",issue95f0251x1996004_4,Completed,Do not load to OLC,95F0251X1996004,
primary139312,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0224x_4,Discontinued/Not available,Do not load to OLC,95F0224X,
primary139306,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0223x_4,Discontinued/Not available,Do not load to OLC,95F0223X,
primary139301,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0222x_4,Discontinued/Not available,Do not load to OLC,95F0222X,
primary139979,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0186x_4,Discontinued/Not available,Do not load to OLC,95F0186X,
primary140079,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0208x_4,Discontinued/Not available,Do not load to OLC,95F0208X,
primary140091,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0210x_4,Discontinued/Not available,Do not load to OLC,95F0210X,
primary140085,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0209x_4,Discontinued/Not available,Do not load to OLC,95F0209X,
primary140219,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0232x_4,Discontinued/Not available,Do not load to OLC,95F0232X,
primary140213,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0231x_4,Discontinued/Not available,Do not load to OLC,95F0231X,
primary140225,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0233x_4,Discontinued/Not available,Do not load to OLC,95F0233X,
primary139999,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0191x_4,Discontinued/Not available,Do not load to OLC,95F0191X,
primary139997,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0190x_4,Discontinued/Not available,Do not load to OLC,95F0190X,
primary139991,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0189x_4,Discontinued/Not available,Do not load to OLC,95F0189X,
primary140001,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0192x_4,Discontinued/Not available,Do not load to OLC,95F0192X,
primary140096,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0211x_4,Discontinued/Not available,Do not load to OLC,95F0211X,
primary140101,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0212x_4,Discontinued/Not available,Do not load to OLC,95F0212X,
primary140113,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0214x_4,Discontinued/Not available,Do not load to OLC,95F0214X,
primary140107,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0213x_4,Discontinued/Not available,Do not load to OLC,95F0213X,
primary140316,Data Products: Basic Summary Tabulations: 1996 Census of Population,cens_tbtp95f0271x_4,Discontinued/Not available,Do not load to OLC,95F0271X,
primary140314,Data Products: Basic Summary Tabulations: 1996 Census of Population,cens_tbtp95f0270x_4,Discontinued/Not available,Do not load to OLC,95F0270X,
primary140318,Data Products: Basic Summary Tabulations: 1996 Census of Population,cens_tbtp95f0272x_4,Discontinued/Not available,Do not load to OLC,95F0272X,
primary140037,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0201x_4,Discontinued/Not available,Do not load to OLC,95F0201X,
primary140025,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0199x_4,Discontinued/Not available,Do not load to OLC,95F0199X,
primary140043,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0202x_4,Discontinued/Not available,Do not load to OLC,95F0202X,
primary140031,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0200x_4,Discontinued/Not available,Do not load to OLC,95F0200X,
primary140201,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0229x_4,Discontinued/Not available,Do not load to OLC,95F0229X,
primary140195,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0228x_4,Discontinued/Not available,Do not load to OLC,95F0228X,
primary140189,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0227x_4,Discontinued/Not available,Do not load to OLC,95F0227X,
primary140207,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0230x_4,Discontinued/Not available,Do not load to OLC,95F0230X,
primary139251,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0219x_4,Discontinued/Not available,Do not load to OLC,95F0219X,
primary139257,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0220x_4,Discontinued/Not available,Do not load to OLC,95F0220X,
primary139223,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0217x_4,Discontinued/Not available,Do not load to OLC,95F0217X,
primary140055,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0204x_4,Discontinued/Not available,Do not load to OLC,95F0204X,
primary140067,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0206x_4,Discontinued/Not available,Do not load to OLC,95F0206X,
primary140049,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0203x_4,Discontinued/Not available,Do not load to OLC,95F0203X,
primary140061,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0205x_4,Discontinued/Not available,Do not load to OLC,95F0205X,
primary140073,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0207x_4,Discontinued/Not available,Do not load to OLC,95F0207X,
primary140237,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0235x_4,Discontinued/Not available,Do not load to OLC,95F0235X,
primary140231,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0234x_4,Discontinued/Not available,Do not load to OLC,95F0234X,
primary139443,"Provincial Economic Accounts, Annual Estimates - Day of Release",publication13-213-d_4,Discontinued/Not available,Do not load to OLC,13-213-D,
primary140003,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0194x_4,Discontinued/Not available,Do not load to OLC,95F0194X,
primary140005,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0195x_4,Discontinued/Not available,Do not load to OLC,95F0195X,
primary140014,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0197x_4,Discontinued/Not available,Do not load to OLC,95F0197X,
primary140119,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0215x_4,Discontinued/Not available,Do not load to OLC,95F0215X,
primary140183,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0226x_4,Discontinued/Not available,Do not load to OLC,95F0226X,
primary140125,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0216x_4,Discontinued/Not available,Do not load to OLC,95F0216X,
primary140135,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0218x_4,Discontinued/Not available,Do not load to OLC,95F0218X,
primary140243,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0236x_4,Discontinued/Not available,Do not load to OLC,95F0236X,
primary140255,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0238x_4,Discontinued/Not available,Do not load to OLC,95F0238X,
primary140503,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0221x_4,Discontinued/Not available,Do not load to OLC,95F0221X,
primary140795,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0188x_4,Discontinued/Not available,Do not load to OLC,95F0188X,
primary140774,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0187x_4,Discontinued/Not available,Do not load to OLC,95F0187X,
primary140551,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0225x_4,Discontinued/Not available,Do not load to OLC,95F0225X,
primary139494,the Nation : 1996 Census of Population,cens_tbtp93f0021x_4,Discontinued/Not available,Do not load to OLC,93F0021X,
primary140272,Data Products : Basic Summary Tabulations : 1996 Census of Population,publication95f0242x_4,Do not load to OLC,Do not load to OLC,95F0242X,
primary140294,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0249x_4,Discontinued/Not available,Do not load to OLC,95F0249X,
primary140306,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0251x_4,Discontinued/Not available,Do not load to OLC,95F0251X,
primary140300,Data Products : Basic Summary Tabulations : 1996 Census of Population,cens_tbtp95f0250x_4,Discontinued/Not available,Do not load to OLC,95F0250X,
primary139917,Data Products: Area Profiles: 1996 Census of Population,cens_tbtp95f0182x_4,Discontinued/Not available,Do not load to OLC,95F0182X,
